                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.52643,                 0.8874,                 1.0021,                0.72695,                0.63364,                0.66372,                0.63141,                0.29078,                0.53873,                0.84723,              0.0092971,              0.0092971,              0.0092971
                     74,                0.52546,                0.88519,                 1.0017,                 0.7372,                 0.6297,                0.66359,                0.63136,                0.29043,                0.53783,                 0.8469,              0.0092872,              0.0092872,              0.0092872
                     75,                0.52456,                0.88985,                 1.0019,                0.73748,                0.62327,                 0.6648,                0.63277,                0.29032,                0.53696,                0.84673,              0.0092773,              0.0092773,              0.0092773
                     76,                0.52593,                0.88682,                 1.0019,                0.74246,                0.62157,                 0.6628,                0.63056,                 0.2903,                0.53696,                0.84684,              0.0092674,              0.0092674,              0.0092674
                     77,                0.52669,                0.88975,                 1.0021,                0.74706,                0.61811,                0.66403,                0.63165,                0.29001,                 0.5361,                0.84661,              0.0092575,              0.0092575,              0.0092575
                     78,                0.52542,                0.88489,                 1.0011,                0.74586,                0.61623,                  0.663,                0.63058,                0.29018,                0.53601,                0.84688,              0.0092476,              0.0092476,              0.0092476
                     79,                0.52626,                0.89128,                 1.0032,                 0.7286,                0.62238,                0.66338,                 0.6315,                0.29019,                0.53548,                0.84714,              0.0092377,              0.0092377,              0.0092377
                     80,                 0.5244,                0.88529,                 1.0013,                0.73316,                0.62347,                0.66647,                0.63459,                0.29035,                0.53514,                0.84723,              0.0092278,              0.0092278,              0.0092278
                     81,                0.52512,                0.88706,                 1.0028,                0.72999,                0.63101,                0.66756,                0.63589,                0.29042,                0.53508,                0.84745,              0.0092179,              0.0092179,              0.0092179
                     82,                0.52359,                0.88426,                 1.0008,                0.73433,                0.62642,                0.66755,                0.63563,                0.29041,                0.53486,                0.84756,               0.009208,               0.009208,               0.009208
                     83,                 0.5238,                0.88518,                 1.0015,                0.73059,                0.62725,                0.66715,                 0.6354,                 0.2903,                0.53459,                0.84761,              0.0091981,              0.0091981,              0.0091981
                     84,                0.52451,                0.88247,                 1.0021,                0.72632,                  0.631,                 0.6671,                0.63522,                0.29026,                0.53415,                 0.8476,              0.0091882,              0.0091882,              0.0091882
                     85,                0.52526,                0.88064,                 1.0027,                0.72423,                 0.6333,                0.66714,                0.63501,                0.29044,                 0.5338,                0.84784,              0.0091783,              0.0091783,              0.0091783
                     86,                0.52457,                0.87913,                 1.0023,                0.74724,                0.62368,                0.66717,                0.63554,                0.29054,                0.53367,                0.84777,              0.0091684,              0.0091684,              0.0091684
                     87,                 0.5236,                0.88028,                 1.0011,                0.73702,                0.63006,                 0.6686,                0.63715,                 0.2905,                0.53287,                0.84762,              0.0091585,              0.0091585,              0.0091585
                     88,                0.52321,                0.87968,                  1.001,                0.74019,                 0.6281,                0.66842,                0.63705,                 0.2905,                 0.5331,                0.84773,              0.0091486,              0.0091486,              0.0091486
                     89,                0.52307,                0.87824,                 1.0012,                0.73697,                0.63357,                0.67052,                0.63837,                0.29064,                0.53286,                0.84774,              0.0091387,              0.0091387,              0.0091387
                     90,                0.52314,                0.87946,                 1.0013,                0.73129,                0.63213,                0.67091,                0.63869,                0.29062,                0.53283,                0.84786,              0.0091288,              0.0091288,              0.0091288
                     91,                0.52244,                0.87505,                 1.0005,                0.74072,                0.62757,                0.67227,                0.64001,                0.29069,                0.53211,                 0.8479,              0.0091189,              0.0091189,              0.0091189
                     92,                0.52271,                0.87451,                 1.0009,                0.74384,                 0.6236,                0.67093,                0.63885,                0.29074,                0.53202,                0.84777,               0.009109,               0.009109,               0.009109
                     93,                0.52223,                0.87686,                 1.0009,                0.74988,                0.62053,                 0.6708,                0.63933,                0.29062,                0.53157,                0.84754,              0.0090991,              0.0090991,              0.0090991
                     94,                0.52108,                0.87198,                0.99972,                0.74963,                0.61872,                0.67061,                0.63927,                0.29052,                0.53139,                0.84738,              0.0090892,              0.0090892,              0.0090892
                     95,                0.52377,                0.87325,                  1.002,                0.75243,                0.62117,                0.67123,                0.63987,                0.29063,                0.53148,                 0.8474,              0.0090793,              0.0090793,              0.0090793
                     96,                0.52405,                0.87417,                 1.0022,                0.74877,                0.62646,                0.67045,                0.63893,                0.29088,                0.53161,                0.84792,              0.0090694,              0.0090694,              0.0090694
                     97,                0.52362,                0.87494,                 1.0019,                0.74463,                0.62588,                0.67066,                0.63835,                0.29095,                0.53158,                0.84794,              0.0090595,              0.0090595,              0.0090595
                     98,                0.52128,                0.87211,                  1.001,                0.74307,                0.63122,                0.67109,                0.63905,                0.29073,                0.53112,                0.84778,              0.0090496,              0.0090496,              0.0090496
                     99,                0.52169,                0.87098,                 1.0005,                 0.7593,                0.61748,                0.66941,                0.63725,                0.29062,                0.53132,                0.84757,              0.0090397,              0.0090397,              0.0090397
                    100,                0.52226,                0.87541,                0.99998,                0.75719,                0.61923,                0.66978,                0.63753,                0.29047,                0.53137,                0.84749,              0.0090298,              0.0090298,              0.0090298
                    101,                0.52141,                  0.873,                0.99937,                0.75386,                0.62284,                0.67179,                0.63967,                0.29045,                0.53117,                0.84742,              0.0090199,              0.0090199,              0.0090199
                    102,                0.51818,                0.86908,                0.99886,                 0.7588,                0.61666,                0.67263,                0.64061,                0.28995,                0.52969,                0.84687,                0.00901,                0.00901,                0.00901
                    103,                0.51871,                0.86534,                0.99893,                0.73336,                0.62457,                0.67211,                0.64056,                0.28992,                0.52949,                0.84692,              0.0090001,              0.0090001,              0.0090001
                    104,                0.52146,                0.87013,                0.99994,                0.72798,                0.62602,                0.67293,                0.64135,                0.28992,                0.52896,                0.84693,              0.0089902,              0.0089902,              0.0089902
                    105,                0.52168,                0.87038,                  1.001,                0.73205,                0.62383,                0.67187,                0.64072,                0.29002,                0.52894,                0.84719,              0.0089803,              0.0089803,              0.0089803
                    106,                0.52228,                0.86607,                 1.0018,                0.73559,                0.62215,                0.67016,                0.63852,                0.28996,                0.52873,                0.84712,              0.0089704,              0.0089704,              0.0089704
